id,user_id,lobby_wait_id
135199,109898,404844.0
135202,109981,404848.0
135203,109982,404854.0
135206,109986,404858.0
135207,109985,404863.0
135210,109959,404870.0
135212,109949,404874.0
135213,109952,404877.0
135214,109958,404879.0
135215,109953,404882.0
135216,109950,404883.0
135217,109971,404886.0
135218,109980,404888.0
135219,109978,404889.0
135221,109979,404891.0
135223,109982,404899.0
135224,109962,404900.0
135225,109983,404902.0
135226,109984,404905.0
135228,109995,404906.0
135230,109943,404910.0
135231,109942,404914.0
135234,109939,404921.0
135235,109956,404923.0
135236,109989,404927.0
135237,109949,404926.0
135238,109944,404932.0
135239,109953,404933.0
135240,109972,404936.0
135241,109971,404935.0
135243,109980,404939.0
135244,109970,404942.0
135245,109979,404943.0
135246,109998,404947.0
135247,109945,404948.0
135250,109986,404958.0
135251,109978,404959.0
135252,110001,404961.0
135253,109943,404964.0
135255,109963,404968.0
135256,109967,404969.0
135257,109968,404974.0
135258,109954,404972.0
135259,109958,404975.0
135260,109951,404978.0
135262,109950,404981.0
135263,109959,404986.0
135264,109990,404988.0
135265,109981,404992.0
135266,109998,404993.0
135268,109983,404995.0
135269,109962,404998.0
135270,109984,405000.0
135271,109995,405003.0
135272,109985,405004.0
135273,109957,405007.0
135284,110002,405030.0
135289,109989,405031.0
135302,109990,405056.0
135316,109975,405109.0
135319,110018,405113.0
135320,110004,405118.0
135326,110057,405132.0
135327,110047,405134.0
135328,110043,405135.0
135329,110059,405137.0
135330,110054,405140.0
135332,110041,405144.0
135334,110065,405150.0
135336,110064,405151.0
135339,110045,405164.0
135340,110070,405167.0
135342,110048,405168.0
135343,110002,405173.0
135344,110004,405174.0
135346,110066,405180.0
135348,110061,405183.0
135349,110079,405185.0
135350,110056,405189.0
135352,110043,405191.0
135353,110052,405194.0
135354,110054,405195.0
135355,110082,405197.0
135356,110063,405199.0
135357,110064,405202.0
135358,110068,405203.0
135359,110070,405206.0
135361,110055,405207.0
135362,110073,405213.0
135365,110074,405219.0
135368,110078,405223.0
135372,110057,405234.0
135374,110056,405235.0
135375,110059,405239.0
135376,110052,405241.0
135378,110060,405242.0
135379,110041,405246.0
135384,110046,405256.0
135385,110063,405257.0
135387,110068,405264.0
135388,110045,405267.0
135390,110069,405271.0
135393,110087,405275.0
135394,110091,405280.0
135395,110078,405283.0
135398,110093,405292.0
135399,110061,405291.0
135400,110053,405294.0
135401,110047,405296.0
135404,110092,405302.0
135405,110079,405305.0
135406,110077,405307.0
135408,110046,405312.0
135409,110065,405313.0
135410,110098,405318.0
135411,110060,405319.0
135415,110055,405327.0
135416,110048,405329.0
135418,110069,405333.0
135419,110091,405334.0
135420,110085,405336.0
135421,110082,405339.0
135422,110053,405340.0
135423,110066,405341.0
135424,110081,405342.0
135425,110098,405349.0
135426,110087,405353.0
135427,110050,405354.0
135428,110073,405357.0
135429,110074,405359.0
135432,110104,405363.0
135433,110085,405367.0
135435,110107,405370.0
135436,110112,405372.0
135437,110081,405375.0
135438,110092,405377.0
135439,110108,405380.0
135440,110077,405381.0
135441,110114,405383.0
135442,110118,405385.0
135443,110103,405388.0
135447,110050,405398.0
135450,110129,405407.0
135451,110121,405410.0
135454,110125,405415.0
135455,110093,405418.0
135457,110105,405423.0
135458,110110,405425.0
135459,110115,405426.0
135461,110102,405430.0
135462,110109,405431.0
135463,110108,405433.0
135464,110103,405437.0
135465,110117,405438.0
135467,110137,405445.0
135471,110127,405453.0
135474,110143,405459.0
135475,110144,405461.0
135478,110121,405467.0
135479,110134,405468.0
135482,110122,405475.0
135483,110101,405477.0
135484,110130,405478.0
135486,110106,405480.0
135488,110105,405485.0
135489,110120,405490.0
135494,110111,405498.0
135495,110109,405503.0
135498,110116,405507.0
135500,110132,405509.0
135502,110133,405515.0
135507,110138,405526.0
135509,110137,405531.0
135521,110127,405555.0
135522,110139,405557.0
135525,110142,405564.0
135526,110129,405567.0
135529,110101,405574.0
135530,110104,405575.0
135531,110130,405577.0
135532,110106,405578.0
135534,110107,405579.0
135535,110112,405583.0
135536,110115,405586.0
135539,110118,405587.0
135540,110111,405595.0
135541,110152,405601.0
135543,110117,405607.0
135545,110156,405609.0
135546,110133,405611.0
135547,110102,405612.0
135548,110144,405616.0
135549,110142,405617.0
135550,110134,405621.0
135552,110143,405625.0
135553,110122,405624.0
135554,110125,405627.0
135555,110116,405628.0
135557,110120,405634.0
135558,110131,405635.0
135559,110132,405637.0
135560,110148,405641.0
135562,110147,405648.0
135563,110138,405646.0
135565,110139,405651.0
135568,110152,405664.0
135569,110163,405665.0
135570,110158,405666.0
135571,110171,405669.0
135572,110155,405671.0
135573,110175,405673.0
135582,110183,405692.0
135583,110148,405694.0
135585,110147,405699.0
135586,110187,405704.0
135588,110180,405706.0
135592,110114,405714.0
135594,110160,405719.0
135968,110163,406868.0
135969,110155,406875.0
135970,110190,406879.0
135971,110200,406881.0
135972,110198,406882.0
135973,110160,406883.0
135974,110203,406886.0
135975,110206,406888.0
135976,110208,406889.0
135979,110213,406896.0
135980,110187,406899.0
135982,110214,406904.0
135985,110215,406909.0
135986,110203,406910.0
135987,110221,406911.0
135988,110201,406913.0
135991,110208,406924.0
135994,110180,406936.0
135995,110214,406938.0
135996,110190,406939.0
135997,110198,406942.0
135999,110217,406947.0
136000,110201,406949.0
136003,110206,406956.0
136004,110216,406961.0
136005,110215,406963.0
136006,110211,406964.0
136007,110219,406967.0
136008,110200,406969.0
136009,110217,406970.0
136010,110213,406973.0
136013,110216,406981.0
136014,110218,406983.0
136015,110219,406988.0
136016,110245,406991.0
136017,110221,406992.0
136018,110218,406998.0
136520,110594,408260.0
136535,110622,408291.0
136540,110595,408303.0
136542,110620,408306.0
136545,110627,408312.0
136547,110618,408315.0
136744,110597,408849.0
136750,110594,408856.0
136751,110625,408866.0
136753,110596,408870.0
136754,110627,408875.0
136755,110626,408876.0
136757,110618,408878.0
136770,110597,408914.0
136773,110622,408928.0
136774,110623,408929.0
136778,110621,408938.0
136779,110596,408939.0
136785,110620,408940.0
136787,110645,408958.0
136793,110625,408976.0
136794,110623,408977.0
136795,110595,408980.0
136796,110621,408981.0
136799,110626,408992.0
136800,110645,408995.0
