"id","user_id","lobby_wait_id"
6623,3694,17322
6624,3692,17323
6625,3688,17325
6626,3687,17327
6627,3678,17329
6629,3672,17333
6630,3658,17334
6631,3670,17336
6632,3682,17338
6633,3675,17340
6634,3690,17342
6635,3684,17345
6636,3662,17347
6637,3586,17349
6638,3688,17351
6639,3683,17352
6640,3687,17354
6641,3672,17357
6642,3679,17359
6643,3689,17362
6644,3661,17360
6645,3611,17364
6646,3676,17366
6647,3697,17369
6648,3675,17371
6649,3643,17372
6650,3660,17375
6651,3694,17377
6652,3686,17378
6653,3683,17381
6654,3676,17383
6655,3658,17382
6656,3681,17388
6657,3669,17387
6658,3682,17390
6659,3693,17393
6660,3679,17394
6661,3668,17397
6662,3678,17398
6663,3672,17401
6664,3670,17404
6665,3673,17403
6666,3608,17405
6667,3697,17408
6668,3658,17410
6669,3662,17413
6670,3690,17416
6671,3675,17415
6672,3664,17419
6673,3665,17421
6674,3694,17422
6675,3689,17424
6676,3688,17426
6678,3662,17428
6679,3695,17431
6680,3687,17432
6681,3698,17434
6682,3670,17437
6684,3682,17436
6685,3666,17440
6686,3669,17442
6687,3586,17447
6688,3690,17445
6689,3688,17449
6690,3700,17451
6691,3699,17454
6692,3672,17453
6693,3666,17457
6694,3676,17459
6695,3693,17462
6696,3677,17463
6697,3678,17464
6699,3668,17468
6700,3673,17471
6701,3697,17472
6703,3682,17476
6704,3659,17477
6706,3693,17481
6707,3689,17485
6708,3665,17487
6709,3660,17488
6710,3586,17491
6711,3702,17494
6712,3695,17493
6713,3700,17497
6714,3677,17498
6715,3673,17501
6716,3676,17503
6717,3698,17504
6718,3703,17507
6719,3702,17509
6720,3668,17511
6721,3608,17513
6722,3684,17515
6723,3693,17516
6724,3671,17518
6725,3659,17520
6726,3666,17523
6727,3702,17526
6728,3696,17527
6729,3699,17528
6730,3661,17533
6731,3703,17534
6732,3586,17536
6733,3695,17538
6734,3704,17541
6735,3700,17544
6736,3669,17547
6737,3689,17546
6738,3707,17549
6739,3683,17551
6740,3668,17553
6741,3703,17556
6742,3660,17557
6743,3708,17560
6744,3684,17561
6745,3708,17565
6747,3704,17569
6748,3708,17571
6749,3696,17572
6751,3678,17576
6753,3703,17581
6754,3699,17584
6755,3705,17585
6756,3702,17586
6757,3669,17587
6758,3704,17592
6759,3712,17593
6760,3659,17596
6761,3686,17597
6762,3698,17599
6763,3705,17602
6764,3716,17603
6765,3700,17604
6766,3714,17606
6767,3695,17608
6768,3696,17609
6769,3697,17611
6770,3665,17612
6771,3713,17616
6772,3686,17619
6773,3704,17620
6774,3719,17625
6775,3716,17626
6776,3706,17628
6777,3699,17629
6778,3712,17630
6779,3721,17633
6780,3722,17634
6781,3698,17636
6782,3723,17640
6783,3716,17641
6784,3724,17642
6785,3715,17644
6786,3722,17647
6787,3727,17648
6788,3717,17650
6789,3677,17653
6790,3686,17656
6792,3707,17659
6793,3705,17662
6794,3716,17664
6796,3718,17669
6797,3724,17672
6798,3696,17674
6799,3713,17675
6800,3728,17676
6801,3694,17677
6802,3712,17680
6803,3721,17683
6804,3714,17686
6805,3705,17685
6806,3722,17690
6807,3727,17689
6808,3677,17692
6809,3719,17695
6810,3714,17697
6811,3706,17698
6812,3717,17700
6813,3733,17704
6814,3708,17705
6815,3729,17708
6816,3714,17707
6817,3719,17710
6818,3718,17715
6819,3713,17717
6820,3728,17720
6821,3712,17721
6822,3730,17722
6823,3725,17725
6824,3715,17727
6825,3706,17730
6826,3726,17733
6827,3727,17734
6828,3706,17735
6829,3731,17738
6830,3729,17739
6831,3724,17740
6832,3725,17745
6833,3720,17746
6834,3718,17749
6835,3715,17751
